代號,free_speech,staff_train,occupation_health,consumer_neg,consumer_pos,supplier_esg,social,risk_management,nocorrupt,conservation
3027,0,1,0,1,0,1,1,0,0,1
3028,0,1,0,0,0,0,0,0,1,0
3029,1,1,0,0,0,0,0,0,0,0
3030,1,1,0,0,0,0,1,0,0,0
3031,0,1,0,0,0,0,0,0,0,0
3032,1,1,0,0,0,0,0,0,0,0
3033,1,1,0,0,0,0,0,0,0,0
3034,1,1,1,0,0,0,0,0,0,0
3035,1,1,1,0,0,0,0,0,0,0
3036,0,1,0,1,0,1,0,0,0,0
3037,1,1,0,0,0,0,0,0,0,0
3038,0,1,0,0,0,0,0,0,0,0
3040,1,1,0,0,0,1,0,0,0,0
3041,1,1,1,0,0,0,1,1,1,0
3042,1,1,0,0,0,0,0,0,0,1
3043,1,1,0,0,0,0,0,0,0,0
3044,0,1,0,0,0,0,0,0,0,0
3045,0,1,0,0,0,0,0,0,0,0
3046,0,1,0,0,0,0,0,0,0,0
3047,0,1,0,0,0,0,0,0,0,0
3048,0,1,1,0,0,0,0,0,0,0
3049,1,1,0,0,0,0,0,0,0,0
3050,1,1,0,0,0,0,0,0,0,0
3051,0,1,0,0,0,0,0,0,0,0
3052,0,1,0,0,0,0,0,0,0,0
3054,0,1,0,0,0,1,0,0,0,1
3055,1,1,0,0,0,0,0,0,0,0
3056,1,1,0,0,0,0,0,0,0,0
3057,0,1,0,0,0,1,0,0,0,1
3058,1,1,0,0,0,1,0,0,0,0
3059,0,1,0,0,0,0,0,0,0,0
3060,1,1,0,0,0,0,0,0,0,0
3062,1,1,0,0,0,0,0,0,0,0
3090,0,1,0,0,0,0,0,0,0,0
3092,1,1,0,1,0,1,0,0,0,0
3094,0,1,0,0,0,0,0,0,0,0
3130,0,1,0,0,0,0,1,0,0,0
3138,0,1,0,0,0,0,0,0,0,0
3149,0,1,0,0,0,0,0,0,0,0
3164,1,1,0,0,0,0,0,0,0,0
3167,1,1,0,0,0,1,0,0,0,0
3189,1,1,0,0,0,1,1,0,0,0
3209,0,1,0,0,0,0,1,0,0,0
3229,1,1,0,0,0,0,1,0,0,0
3231,1,1,0,0,0,0,0,0,0,0
3257,0,1,0,0,0,0,0,0,0,0
3266,1,1,0,0,0,1,0,0,0,0
3296,1,1,1,0,0,1,0,0,0,0
3305,0,1,0,0,0,0,1,0,0,0
3308,1,1,0,0,0,0,1,0,0,0
3311,1,1,0,0,0,0,0,0,0,0
3312,1,1,0,0,0,0,0,0,0,0
3321,0,1,0,0,0,0,1,0,0,0
3338,1,1,0,0,0,0,0,0,0,0
3346,1,1,1,0,0,0,0,0,0,0
3356,1,1,0,0,0,1,0,0,0,0
3376,0,1,0,0,0,1,0,0,0,0
3380,1,0,0,0,0,0,1,0,0,0
3406,1,1,0,0,0,0,0,0,0,0
3413,0,1,0,0,0,0,0,0,0,0
3416,0,1,0,0,0,0,0,0,0,0
3419,1,0,0,0,0,0,0,0,0,0
3432,0,1,0,0,0,0,0,0,0,0
3437,0,1,0,0,0,0,0,0,0,0
3443,0,1,0,0,0,1,1,0,0,0
3450,0,1,0,0,0,1,0,0,0,0
3454,1,1,0,0,0,0,0,0,0,0
3481,1,1,0,0,0,0,0,0,0,0
3494,0,1,0,0,0,1,0,0,0,0
